Date et heure,Consommation en kWh
03/07/2025 00:00,0.12
03/07/2025 00:30,0.125
03/07/2025 01:00,0.136
03/07/2025 01:30,0.112
03/07/2025 02:00,0.12
03/07/2025 02:30,0.145
03/07/2025 03:00,0.113
03/07/2025 03:30,0.112
03/07/2025 04:00,0.14
03/07/2025 04:30,0.122
03/07/2025 05:00,0.118
03/07/2025 05:30,0.131
03/07/2025 06:00,0.114
03/07/2025 06:30,0.11
03/07/2025 07:00,0.311
03/07/2025 07:30,0.747
03/07/2025 08:00,0.111
03/07/2025 08:30,0.13
03/07/2025 09:00,0.102
03/07/2025 09:30,0.107
03/07/2025 10:00,0.127
03/07/2025 10:30,0.104
03/07/2025 11:00,0.113
03/07/2025 11:30,0.13
03/07/2025 12:00,0.101
03/07/2025 12:30,0.342
03/07/2025 13:00,0.172
03/07/2025 13:30,0.106
03/07/2025 14:00,0.122
03/07/2025 14:30,0.119
03/07/2025 15:00,0.106
03/07/2025 15:30,0.123
03/07/2025 16:00,0.121
03/07/2025 16:30,0.111
03/07/2025 17:00,0.117
03/07/2025 17:30,0.123
03/07/2025 18:00,0.112
03/07/2025 18:30,0.123
03/07/2025 19:00,0.681
03/07/2025 19:30,0.335
03/07/2025 20:00,0.182
03/07/2025 20:30,0.144
03/07/2025 21:00,0.142
03/07/2025 21:30,0.15
03/07/2025 22:00,0.16
03/07/2025 22:30,1.187
03/07/2025 23:00,1.576
03/07/2025 23:30,1.714
04/07/2025 00:00,1.382
04/07/2025 00:30,1.277
04/07/2025 01:00,1.281
04/07/2025 01:30,1.279
04/07/2025 02:00,1.301
04/07/2025 02:30,1.3
04/07/2025 03:00,1.281
04/07/2025 03:30,1.103
04/07/2025 04:00,0.126
04/07/2025 04:30,0.117
04/07/2025 05:00,0.133
04/07/2025 05:30,0.118
04/07/2025 06:00,0.112
04/07/2025 06:30,0.126
04/07/2025 07:00,0.192
04/07/2025 07:30,0.166
04/07/2025 08:00,0.169
04/07/2025 08:30,0.198
04/07/2025 09:00,0.168
04/07/2025 09:30,0.732
04/07/2025 10:00,0.109
04/07/2025 10:30,0.221
04/07/2025 11:00,0.14
04/07/2025 11:30,0.441
04/07/2025 12:00,0.551
04/07/2025 12:30,0.176
04/07/2025 13:00,0.114
04/07/2025 13:30,0.13
04/07/2025 14:00,0.116
04/07/2025 14:30,0.105
04/07/2025 15:00,0.14
04/07/2025 15:30,0.116
04/07/2025 16:00,0.102
04/07/2025 16:30,0.131
04/07/2025 17:00,0.299
04/07/2025 17:30,0.454
04/07/2025 18:00,0.391
04/07/2025 18:30,0.301
04/07/2025 19:00,0.158
04/07/2025 19:30,0.11
04/07/2025 20:00,0.121
04/07/2025 20:30,0.105
04/07/2025 21:00,0.142
04/07/2025 21:30,0.154
04/07/2025 22:00,0.124
04/07/2025 22:30,0.161
04/07/2025 23:00,1.5
04/07/2025 23:30,0.271
05/07/2025 00:00,0.151
05/07/2025 00:30,0.166
05/07/2025 01:00,0.115
05/07/2025 01:30,0.128
05/07/2025 02:00,0.127
05/07/2025 02:30,0.104
05/07/2025 03:00,0.127
05/07/2025 03:30,0.126
05/07/2025 04:00,0.109
05/07/2025 04:30,0.128
05/07/2025 05:00,0.123
05/07/2025 05:30,0.119
05/07/2025 06:00,0.113
05/07/2025 06:30,0.114
05/07/2025 07:00,0.112
05/07/2025 07:30,0.275
05/07/2025 08:00,0.148
05/07/2025 08:30,0.201
05/07/2025 09:00,0.219
05/07/2025 09:30,0.938
05/07/2025 10:00,0.175
05/07/2025 10:30,0.825
05/07/2025 11:00,1.156
05/07/2025 11:30,0.623
05/07/2025 12:00,0.507
05/07/2025 12:30,0.354
05/07/2025 13:00,0.153
05/07/2025 13:30,0.154
05/07/2025 14:00,0.161
05/07/2025 14:30,0.152
05/07/2025 15:00,0.154
05/07/2025 15:30,0.128
05/07/2025 16:00,0.269
05/07/2025 16:30,0.177
05/07/2025 17:00,0.173
05/07/2025 17:30,0.163
05/07/2025 18:00,0.15
05/07/2025 18:30,0.142
05/07/2025 19:00,0.143
05/07/2025 19:30,0.101
05/07/2025 20:00,0.113
05/07/2025 20:30,0.12
05/07/2025 21:00,0.106
05/07/2025 21:30,0.109
05/07/2025 22:00,0.189
05/07/2025 22:30,0.769
05/07/2025 23:00,1.373
05/07/2025 23:30,1.395
06/07/2025 00:00,1.378
06/07/2025 00:30,1.379
06/07/2025 01:00,1.397
06/07/2025 01:30,1.327
06/07/2025 02:00,1.279
06/07/2025 02:30,1.273
06/07/2025 03:00,1.293
06/07/2025 03:30,1.278
06/07/2025 04:00,1.648
06/07/2025 04:30,1.374
06/07/2025 05:00,1.277
06/07/2025 05:30,1.27
06/07/2025 06:00,1.28
06/07/2025 06:30,0.303
06/07/2025 07:00,0.087
06/07/2025 07:30,0.096
06/07/2025 08:00,0.129
06/07/2025 08:30,0.203
06/07/2025 09:00,0.178
06/07/2025 09:30,0.801
06/07/2025 10:00,0.52
06/07/2025 10:30,0.125
06/07/2025 11:00,0.125
06/07/2025 11:30,0.106
06/07/2025 12:00,0.118
06/07/2025 12:30,0.12
06/07/2025 13:00,0.1
06/07/2025 13:30,0.093
06/07/2025 14:00,0.115
06/07/2025 14:30,0.118
06/07/2025 15:00,0.099
06/07/2025 15:30,0.105
06/07/2025 16:00,0.108
06/07/2025 16:30,0.122
06/07/2025 17:00,0.096
06/07/2025 17:30,0.108
06/07/2025 18:00,0.767
06/07/2025 18:30,0.999
06/07/2025 19:00,1.223
06/07/2025 19:30,1.045
06/07/2025 20:00,0.203
06/07/2025 20:30,0.528
06/07/2025 21:00,0.649
06/07/2025 21:30,0.211
06/07/2025 22:00,0.164
06/07/2025 22:30,0.731
06/07/2025 23:00,1.286
06/07/2025 23:30,1.309
07/07/2025 00:00,1.677
07/07/2025 00:30,1.414
07/07/2025 01:00,1.366
07/07/2025 01:30,1.575
07/07/2025 02:00,1.554
07/07/2025 02:30,1.295
07/07/2025 03:00,1.304
07/07/2025 03:30,1.278
07/07/2025 04:00,1.292
07/07/2025 04:30,1.301
07/07/2025 05:00,1.074
07/07/2025 05:30,0.813
07/07/2025 06:00,0.692
07/07/2025 06:30,0.099
07/07/2025 07:00,0.652
07/07/2025 07:30,0.184
07/07/2025 08:00,0.157
07/07/2025 08:30,0.417
07/07/2025 09:00,0.455
07/07/2025 09:30,0.285
07/07/2025 10:00,0.374
07/07/2025 10:30,0.442
07/07/2025 11:00,0.795
07/07/2025 11:30,0.179
07/07/2025 12:00,0.336
07/07/2025 12:30,0.238
07/07/2025 13:00,0.208
07/07/2025 13:30,0.251
07/07/2025 14:00,0.378
07/07/2025 14:30,0.758
07/07/2025 15:00,0.128
07/07/2025 15:30,0.128
07/07/2025 16:00,0.151
07/07/2025 16:30,0.173
07/07/2025 17:00,0.112
07/07/2025 17:30,0.336
07/07/2025 18:00,0.194
07/07/2025 18:30,0.253
07/07/2025 19:00,0.217
07/07/2025 19:30,0.206
07/07/2025 20:00,0.14
07/07/2025 20:30,0.13
07/07/2025 21:00,0.634
07/07/2025 21:30,0.504
07/07/2025 22:00,0.538
07/07/2025 22:30,0.615
07/07/2025 23:00,0.254
07/07/2025 23:30,0.098
08/07/2025 00:00,0.112
08/07/2025 00:30,0.112
08/07/2025 01:00,0.104
08/07/2025 01:30,0.102
08/07/2025 02:00,0.128
08/07/2025 02:30,0.119
08/07/2025 03:00,0.1
08/07/2025 03:30,0.123
08/07/2025 04:00,0.098
08/07/2025 04:30,0.117
08/07/2025 05:00,0.109
08/07/2025 05:30,0.104
08/07/2025 06:00,0.106
08/07/2025 06:30,0.11
08/07/2025 07:00,0.094
08/07/2025 07:30,0.189
08/07/2025 08:00,0.128
08/07/2025 08:30,0.091
08/07/2025 09:00,0.106
08/07/2025 09:30,0.109
08/07/2025 10:00,0.116
08/07/2025 10:30,0.097
08/07/2025 11:00,0.123
08/07/2025 11:30,1.049
08/07/2025 12:00,0.099
08/07/2025 12:30,0.246
08/07/2025 13:00,0.203
08/07/2025 13:30,0.092
08/07/2025 14:00,0.09
08/07/2025 14:30,0.118
08/07/2025 15:00,0.106
08/07/2025 15:30,0.11
08/07/2025 16:00,0.107
08/07/2025 16:30,0.12
08/07/2025 17:00,0.085
08/07/2025 17:30,0.121
08/07/2025 18:00,0.184
08/07/2025 18:30,0.098
08/07/2025 19:00,0.149
08/07/2025 19:30,0.59
08/07/2025 20:00,0.684
08/07/2025 20:30,0.554
08/07/2025 21:00,1.049
08/07/2025 21:30,0.494
08/07/2025 22:00,0.44
08/07/2025 22:30,0.173
08/07/2025 23:00,0.193
08/07/2025 23:30,0.211
09/07/2025 00:00,0.488
09/07/2025 00:30,0.321
09/07/2025 01:00,0.726
09/07/2025 01:30,0.115
09/07/2025 02:00,0.119
09/07/2025 02:30,0.122
09/07/2025 03:00,0.105
09/07/2025 03:30,0.113
09/07/2025 04:00,0.112
09/07/2025 04:30,0.684
09/07/2025 05:00,0.111
09/07/2025 05:30,0.11
09/07/2025 06:00,0.105
09/07/2025 06:30,0.092
09/07/2025 07:00,0.116
09/07/2025 07:30,0.172
09/07/2025 08:00,0.12
09/07/2025 08:30,0.102
09/07/2025 09:00,0.127
09/07/2025 09:30,0.276
09/07/2025 10:00,1.086
09/07/2025 10:30,0.129
09/07/2025 11:00,0.153
09/07/2025 11:30,0.16
09/07/2025 12:00,0.478
09/07/2025 12:30,0.737
09/07/2025 13:00,0.634
09/07/2025 13:30,0.217
09/07/2025 14:00,0.212
09/07/2025 14:30,0.226
09/07/2025 15:00,0.092
09/07/2025 15:30,0.101
09/07/2025 16:00,0.12
09/07/2025 16:30,0.097
09/07/2025 17:00,0.105
09/07/2025 17:30,0.108
09/07/2025 18:00,0.162
09/07/2025 18:30,0.302
09/07/2025 19:00,1.089
09/07/2025 19:30,0.602
09/07/2025 20:00,1.488
09/07/2025 20:30,0.696
09/07/2025 21:00,0.526
09/07/2025 21:30,0.515
09/07/2025 22:00,0.362
09/07/2025 22:30,0.792
09/07/2025 23:00,1.645
09/07/2025 23:30,1.402
10/07/2025 00:00,1.4
10/07/2025 00:30,1.399
10/07/2025 01:00,1.888
10/07/2025 01:30,1.384
10/07/2025 02:00,1.352
10/07/2025 02:30,1.289
10/07/2025 03:00,1.294
10/07/2025 03:30,1.308
10/07/2025 04:00,0.287
10/07/2025 04:30,0.102
10/07/2025 05:00,0.126
10/07/2025 05:30,0.096
10/07/2025 06:00,0.106
10/07/2025 06:30,0.212
10/07/2025 07:00,0.842
10/07/2025 07:30,0.12
10/07/2025 08:00,0.11
10/07/2025 08:30,0.1
10/07/2025 09:00,0.092
10/07/2025 09:30,0.12
10/07/2025 10:00,0.089
10/07/2025 10:30,0.104
10/07/2025 11:00,0.164
10/07/2025 11:30,0.099
10/07/2025 12:00,0.208
10/07/2025 12:30,0.942
10/07/2025 13:00,0.289
10/07/2025 13:30,0.164
10/07/2025 14:00,0.118
10/07/2025 14:30,0.133
10/07/2025 15:00,0.112
10/07/2025 15:30,0.095
10/07/2025 16:00,0.113
10/07/2025 16:30,0.106
10/07/2025 17:00,0.099
10/07/2025 17:30,0.116
10/07/2025 18:00,0.109
10/07/2025 18:30,0.105
10/07/2025 19:00,0.106
10/07/2025 19:30,0.885
10/07/2025 20:00,0.236
10/07/2025 20:30,0.465
10/07/2025 21:00,0.384
10/07/2025 21:30,0.285
10/07/2025 22:00,0.283
10/07/2025 22:30,0.174
10/07/2025 23:00,0.174
10/07/2025 23:30,0.167
11/07/2025 00:00,0.195
11/07/2025 00:30,0.22
11/07/2025 01:00,0.19
11/07/2025 01:30,0.193
11/07/2025 02:00,0.227
11/07/2025 02:30,0.175
11/07/2025 03:00,0.107
11/07/2025 03:30,0.119
11/07/2025 04:00,0.112
11/07/2025 04:30,0.104
11/07/2025 05:00,0.12
11/07/2025 05:30,0.117
11/07/2025 06:00,0.096
11/07/2025 06:30,0.104
11/07/2025 07:00,0.113
11/07/2025 07:30,0.102
11/07/2025 08:00,0.106
11/07/2025 08:30,0.116
11/07/2025 09:00,0.093
11/07/2025 09:30,0.103
11/07/2025 10:00,0.116
11/07/2025 10:30,0.481
11/07/2025 11:00,0.464
11/07/2025 11:30,0.163
11/07/2025 12:00,0.125
11/07/2025 12:30,0.134
11/07/2025 13:00,0.137
11/07/2025 13:30,0.197
11/07/2025 14:00,0.204
11/07/2025 14:30,0.355
11/07/2025 15:00,0.325
11/07/2025 15:30,0.113
11/07/2025 16:00,0.1
11/07/2025 16:30,0.106
11/07/2025 17:00,0.113
11/07/2025 17:30,0.113
